# numsamples,requestspersecond
2097152,17483.99
1048576,16247.92
524288,16688.04
262144,17607.74
131072,14795.35
65536,20595.85
32768,21816.25
16384,21445.03
8192,21962.47
4096,20177.34
2048,18788.99
1024,17066.67
