# numsamples,requestspersecond
2097152,15928.42
1048576,15406.19
524288,17219.13
262144,12626.14
131072,18767.47
65536,19528.01
32768,6954.16
16384,8837.11
8192,6014.68
4096,21113.40
2048,20078.43
1024,19692.31
